[trainer] 断点续训：epoch 78/100
[trainer] 数据源标识: train=local/track4_sim/train val=local/track4_sim/val
[trainer] tag=g4_fold1 fold=1 train=499 val=125 steps/epoch=249 特殊影像正样本=[6, 6] 重复对=True
[g4_fold1] ep91 step21/249 loss=0.1912 {'ds': 0.107, 'seg': 0.143, 'cls': 0.191, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep91 step41/249 loss=0.1683 {'ds': 0.076, 'seg': 0.091, 'cls': 0.307, 'special': 0.0, 'embed': 0.01}
[g4_fold1] ep91 step61/249 loss=0.4111 {'ds': 0.19, 'seg': 0.256, 'cls': 0.621, 'special': 0.0, 'embed': 0.003}
[g4_fold1] ep91 step81/249 loss=0.1946 {'ds': 0.068, 'seg': 0.088, 'cls': 0.416, 'special': 0.001, 'embed': 0.025}
[g4_fold1] ep91 step101/249 loss=0.7433 {'ds': 0.295, 'seg': 0.664, 'cls': 0.318, 'special': 0.0, 'embed': 0.002}
[g4_fold1] ep91 step121/249 loss=0.2914 {'ds': 0.137, 'seg': 0.2, 'cls': 0.364, 'special': 0.0, 'embed': 0.0}
[g4_fold1] ep91 step141/249 loss=0.4772 {'ds': 0.315, 'seg': 0.426, 'cls': 0.204, 'special': 0.0, 'embed': 0.002}
[g4_fold1] ep91 step161/249 loss=0.1971 {'ds': 0.084, 'seg': 0.107, 'cls': 0.359, 'special': 0.0, 'embed': 0.001}
[g4_fold1] ep91 step181/249 loss=0.3580 {'ds': 0.227, 'seg': 0.303, 'cls': 0.218, 'special': 0.0, 'embed': 0.003}
[g4_fold1] ep91 step201/249 loss=0.1363 {'ds': 0.062, 'seg': 0.073, 'cls': 0.25, 'special': 0.0, 'embed': 0.008}
[g4_fold1] ep91 step221/249 loss=0.4460 {'ds': 0.217, 'seg': 0.277, 'cls': 0.676, 'special': 0.0, 'embed': 0.001}
